Cpu,Gpu,Memory,Price,Cpu_Value,Cpu_Generation,Memory_Type,Gpu_Category
AMD A9-Series 9420 3GHz,amd radeon r5 m420,HDD,24988.32,2,Other,2,Khác
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,98514.72,1,Intel Core i7,1,Card onboard
Intel Core i3 7130U 2.7GHz,nvidia geforce mx130,SSD,37402.56,1,Intel Core i3,1,Card rời
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,50562.72,1,Intel Core i5,1,Card onboard
AMD A6-Series A6-9220 2.5GHz,amd radeon r4 graphics,SSD,23757.552,2,Other,1,Khác
Intel Core i7 8550U 1.8GHz,nvidia geforce mx150,HDD,56423.52,1,Intel Core i7,2,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1070,SSD +  HDD,133146.72,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050m,SSD,90522.72,1,Intel Core i7,1,Card rời
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,60845.76,1,Intel Core i7,1,Khác
Intel Core i3 6006U 2GHz,intel hd graphics 520,SSD,23656.32,1,Intel Core i3,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel hd graphics 620,HDD,38468.16,1,Intel Core i5,2,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,35004.96,1,Intel Core i5,2,Card onboard
Intel Core i5 7200U 2.5GHz,amd radeon r5 m430,HDD,30103.2,1,Intel Core i5,2,Khác
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,42570.72,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD +  SSD,79866.72,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,nvidia geforce 930mx,HDD,54239.04,1,Intel Core i7,2,Card rời
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,46886.4,1,Intel Core i7,1,Card onboard
Intel Core i5 2.9GHz,intel iris graphics 550,SSD,104370.192,1,Intel Core i5,1,Card onboard
AMD Ryzen 1700 3GHz,amd radeon rx 580,SSD +  HDD,82530.72,2,Other,1,Khác
Intel Core i7 8550U 1.8GHz,amd radeon 520,SSD,39164.5296,1,Intel Core i7,1,Khác
Intel Core i7 6600U 2.6GHz,intel hd graphics 520,SSD,133146.72,1,Intel Core i7,1,Card onboard
Intel Core i7 6500U 2.5GHz,nvidia geforce 930m,HDD,43263.36,1,Intel Core i7,2,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,HDD,37992.3696,1,Intel Core i7,2,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,58554.72,1,Intel Core i7,1,Khác
Intel Core i7 8550U 1.8GHz,nvidia geforce mx130,HDD,39693.6,1,Intel Core i7,2,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,26053.92,1,Intel Core i3,2,Card onboard
Intel Core i7 8550U 1.8GHz,nvidia geforce mx150,HDD,45234.72,1,Intel Core i7,2,Card rời
Intel Core i7 7500U 2.7GHz,nvidia geforce 940mx,SSD +  HDD,45767.52,1,Intel Core i7,1,Card rời
Intel Core i3 6006U 2.0GHz,amd radeon r5 m430,HDD,22803.84,1,Intel Core i3,2,Khác
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD,44169.12,1,Intel Core i5,1,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,30849.12,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,nvidia geforce mx150,SSD,50669.28,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,HDD,35111.52,1,Intel Core i7,2,Card onboard
Intel Core i7 7500U 2.7GHz,intel hd graphics 630,SSD,58448.16,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,nvidia geforce 940mx,SSD,52054.56,1,Intel Core i5,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD +  HDD,62817.12,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,nvidia geforce 940mx,HDD,35112.0528,1,Intel Core i7,2,Card rời
Intel Celeron Dual Core 3205U 1.5GHz,intel hd graphics,SSD,10602.72,1,Other,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,HDD,63243.36,1,Intel Core i7,2,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,26053.92,1,Intel Core i3,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD,97449.12,1,Intel Core i7,1,Card rời
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,39373.92,1,Intel Core i5,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,HDD,69210.72,1,Intel Core i7,2,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD,52161.12,1,Intel Core i7,1,Card rời
Intel Core i7 7820HQ 2.9GHz,nvidia quadro m1200,SSD,153705.3408,1,Intel Core i7,1,Card rời
AMD A10-Series 9600P 2.4GHz,amd radeon r5 430,HDD,26586.72,2,Other,2,Khác
Intel Core i7 7500U 2.7GHz,nvidia geforce 940mx,SSD,78215.04,1,Intel Core i7,1,Card rời
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,SSD,27119.52,1,Intel Core i3,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1070,SSD +  HDD,113060.16,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,nvidia geforce gtx 940m,HDD,34578.72,1,Intel Core i5,2,Card rời
Intel Core i5 7200U 2.5GHz,nvidia geforce 940mx,HDD,29250.72,1,Intel Core i5,2,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD +  HDD,67399.2,1,Intel Core i7,1,Card rời
Intel Pentium Quad Core N4200 1.1GHz,intel hd graphics 505,HDD,19180.2672,1,Other,2,Card onboard
Intel Core i7 7600U 2.8GHz,intel hd graphics 620,SSD,105228.0,1,Intel Core i7,1,Card onboard
Intel Core i7 6500U 2.5GHz,nvidia geforce 930m,SSD,55571.04,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,nvidia geforce 940mx,SSD +  HDD,43636.32,1,Intel Core i5,1,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,24988.32,1,Intel Core i3,2,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,53226.72,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,133146.72,1,Intel Core i7,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1070,SSD +  HDD,111834.72,1,Intel Core i7,1,Card rời
AMD A8-Series 7410 2.2GHz,amd radeon r5,SSD,24988.32,2,Other,1,Khác
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,Flash Storage,14652.0,1,Other,0,Card onboard
Intel Core i5 8250U 1.6GHz,amd radeon 530,SSD +  HDD,44968.32,1,Intel Core i5,1,Khác
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,130482.72,1,Intel Core i7,1,Card onboard
Intel Celeron Dual Core 3855U 1.6GHz,intel hd graphics 510,Flash Storage,24503.472,1,Other,0,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,52214.4,1,Intel Core i5,1,Card onboard
Intel Pentium Quad Core N3710 1.6GHz,intel hd graphics 405,Flash Storage,25840.8,1,Other,0,Card onboard
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,68837.76,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,nvidia geforce 920mx,HDD,31381.92,1,Intel Core i5,2,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,58288.32,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,HDD,48058.56,1,Intel Core i7,2,Card onboard
AMD A12-Series 9720P 2.7GHz,amd radeon rx 540,SSD,35111.52,2,Other,1,Khác
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,Flash Storage,15557.76,1,Other,0,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,29250.72,1,Intel Core i5,2,Card onboard
Intel Core i7 7500U 2.7GHz,nvidia geforce 940mx,SSD,55938.672,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,71128.8,1,Intel Core i7,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD,140605.92,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD +  HDD,63882.72,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,50243.04,1,Intel Core i5,1,Card onboard
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD +  HDD,71075.52,1,Intel Core i7,1,Card onboard
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,23922.72,1,Intel Core i3,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD,53226.72,1,Intel Core i7,1,Card rời
Intel Core i5 7300U 2.6GHz,intel hd graphics 620,SSD,67559.04,1,Intel Core i5,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,60952.32,1,Intel Core i5,1,Card onboard
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,HDD,14651.4672,1,Other,2,Card onboard
Intel Core i5 8250U 1.6GHz,nvidia geforce 940mx,SSD,60885.72,1,Intel Core i5,1,Card rời
Intel Celeron Dual Core N3060 1.6GHz,intel hd graphics,HDD,14646.672,1,Other,2,Card onboard
AMD A12-Series 9720P 3.6GHz,amd radeon 530,HDD,47898.72,2,Other,2,Khác
Intel Core i3 7100U 2.4GHz,nvidia geforce 930mx,HDD,38148.48,1,Intel Core i3,2,Card rời
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,111834.72,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,84129.12,1,Intel Core i7,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD +  HDD,60153.12,1,Intel Core i7,1,Card rời
Intel Celeron Dual Core N3060 1.6GHz,intel hd graphics 400,Flash Storage,14865.12,1,Other,0,Card onboard
Intel Core i7 8650U 1.9GHz,intel uhd graphics 620,SSD +  SSD,85672.1088,1,Intel Core i7,1,Card onboard
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,Flash Storage,19980.0,1,Other,0,Card onboard
Intel Core i5 8250U 1.6GHz,amd radeon 530,HDD,35324.64,1,Intel Core i5,2,Khác
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,69477.12,1,Intel Core i7,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,75071.52,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia quadro m1200,SSD,92615.0256,1,Intel Core i7,1,Card rời
Intel Core i7 6500U 2.5GHz,nvidia geforce 930m,SSD,74751.84,1,Intel Core i7,1,Card rời
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,51729.552,1,Intel Core i7,1,Khác
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,HDD,17155.6272,1,Other,2,Card onboard
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,HDD,53226.72,1,Intel Core i5,2,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,29696.6736,1,Intel Core i5,2,Card onboard
Intel Core i5 7300U 2.6GHz,intel hd graphics 620,SSD,76030.56,1,Intel Core i5,1,Card onboard
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,23389.92,1,Intel Core i3,2,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,50349.6,1,Intel Core i5,1,Card onboard
Intel Core i5 7200U 2.5GHz,nvidia geforce gtx 940mx,SSD +  HDD,38308.32,1,Intel Core i5,1,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,34045.92,1,Intel Core i5,2,Card onboard
Intel Core i3 6006U 2GHz,nvidia geforce 920mx,SSD,26586.72,1,Intel Core i3,1,Card rời
Intel Pentium Quad Core N3710 1.6GHz,intel hd graphics 405,HDD,20725.92,1,Other,2,Card onboard
Intel Core i5 8250U 1.6GHz,amd radeon 530,SSD +  HDD,57808.8,1,Intel Core i5,1,Khác
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD +  HDD,43103.52,1,Intel Core i5,1,Card rời
Intel Core i7 7500U 2.7GHz,amd radeon r7 m445,SSD,47898.72,1,Intel Core i7,1,Khác
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,93240.0,1,Intel Core i7,1,Card onboard
Intel Core i7 7500U 2.7GHz,nvidia geforce gt 940mx,SSD +  HDD,58554.72,1,Intel Core i7,1,Card rời
AMD A9-Series 9420 3GHz,amd radeon r5,SSD,22697.28,2,Other,1,Khác
AMD Ryzen 1700 3GHz,amd radeon rx 580,SSD +  HDD,117162.72,2,Other,1,Khác
AMD A8-Series 7410 2.2GHz,amd radeon r5,SSD,26053.92,2,Other,1,Khác
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,46300.8528,1,Intel Core i7,1,Card onboard
AMD A9-Series 9420 3GHz,amd radeon r5,SSD,26053.3872,2,Other,1,Khác
Intel Celeron Quad Core N3450 1.1GHz,intel hd graphics 500,SSD,29463.84,1,Other,1,Card onboard
Intel Celeron Dual Core N3060 1.60GHz,intel hd graphics 400,HDD,16463.52,1,Other,2,Card onboard
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,Flash Storage,15238.08,1,Other,0,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,HDD,45074.88,1,Intel Core i7,2,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD +  HDD,63456.48,1,Intel Core i7,1,Card rời
Intel Core i3 6006U 2GHz,intel hd graphics 520,SSD,21498.48,1,Intel Core i3,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,SSD +  HDD,88178.4,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,nvidia geforce 940mx,SSD,58554.72,1,Intel Core i5,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,93181.392,1,Intel Core i7,1,Card onboard
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,121584.96,1,Intel Core i7,1,Card onboard
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,SSD,29250.72,1,Intel Core i3,1,Card onboard
Intel Core i5 6440HQ 2.6GHz,amd firepro w5130m,HDD,72940.32,1,Intel Core i5,2,Khác
Intel Core i7 6820HQ 2.7GHz,nvidia quadro m1200,SSD,113752.8,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,133679.52,1,Intel Core i7,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,HDD,55357.92,1,Intel Core i7,2,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD +  HDD,84768.48,1,Intel Core i7,1,Card rời
Intel Core i5 8250U 1.6GHz,nvidia geforce mx130,HDD,36975.7872,1,Intel Core i5,2,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD,71874.72,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,amd radeon r7 m445,SSD,41498.1936,1,Intel Core i7,1,Khác
AMD A9-Series 9420 3GHz,amd radeon 520,SSD,26586.72,2,Other,1,Khác
Intel Core i7 8550U 1.8GHz,amd radeon rx 550,SSD,65510.9568,1,Intel Core i7,1,Khác
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,49976.64,1,Intel Core i5,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia quadro m1200,SSD,144495.36,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,139860.0,1,Intel Core i7,1,Card onboard
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,HDD,16303.68,1,Other,2,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD +  HDD,81465.12,1,Intel Core i7,1,Card rời
Intel Core i5 8250U 1.6GHz,amd radeon rx 550,SSD +  HDD,60978.96,1,Intel Core i5,1,Khác
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD,46833.12,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1070,SSD +  HDD,119826.72,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,99793.44,1,Intel Core i7,1,Card onboard
Intel Core i7 6500U 2.5GHz,intel hd graphics 520,SSD,93080.16,1,Intel Core i7,1,Card onboard
Intel Core i7 7600U 2.8GHz,intel hd graphics,SSD,89510.4,1,Intel Core i7,1,Card onboard
Intel Core i3 6006U 2GHz,intel hd graphics 520,HDD,21791.52,1,Intel Core i3,2,Card onboard
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,Flash Storage,16221.096,1,Other,0,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia quadro m1200,SSD,102564.0,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gt 940mx,SSD,103523.04,1,Intel Core i7,1,Card rời
Intel Core i3 6006U 2GHz,amd radeon 520,HDD,24988.32,1,Intel Core i3,2,Khác
Intel Core i7 6500U 2.5GHz,intel hd graphics 520,SSD,42038.4528,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,49443.84,1,Intel Core i5,1,Card onboard
Intel Core i5 7200U 2.5GHz,amd radeon r5 m430,SSD,31909.392,1,Intel Core i5,1,Khác
Intel Core i3 6006U 2GHz,intel hd graphics 520,SSD,36709.92,1,Intel Core i3,1,Card onboard
Intel Core i7 6500U 2.5GHz,intel hd graphics 520,SSD,79920.0,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,28768.536,1,Intel Core i5,2,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon rx 550,SSD,64755.4464,1,Intel Core i7,1,Khác
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD,101178.72,1,Intel Core i7,1,Card rời
Intel Celeron Quad Core N3450 1.1GHz,intel hd graphics 500,Flash Storage,23922.72,1,Other,0,Card onboard
Intel Core i7 7820HQ 2.9GHz,intel hd graphics 630,SSD,76030.56,1,Intel Core i7,1,Card onboard
Intel Core i3 7100U 2.4GHz,nvidia geforce 940mx,HDD,31808.16,1,Intel Core i3,2,Card rời
Intel Core i7 7820HK 2.9GHz,nvidia geforce gtx 1070,SSD +  HDD,149130.72,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050 ti,SSD +  HDD,61751.52,1,Intel Core i7,1,Card rời
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,60867.072,1,Intel Core i7,1,Khác
Intel Core i7 7600U 2.8GHz,intel hd graphics 620,SSD,58554.72,1,Intel Core i7,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1070,SSD +  HDD,106506.72,1,Intel Core i7,1,Card rời
Intel Celeron Dual Core N3350 1.1GHz,intel hd graphics 500,SSD,15930.72,1,Other,1,Card onboard
Intel Celeron Dual Core N3060 1.6GHz,intel hd graphics 400,Flash Storage,14332.32,1,Other,0,Card onboard
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,53812.8,1,Intel Core i7,1,Card onboard
Intel Core i3 7130U 2.7GHz,intel hd graphics 620,SSD,31914.72,1,Intel Core i3,1,Card onboard
Intel Core i7 7600U 2.8GHz,nvidia geforce 940mx,SSD,130269.6,1,Intel Core i7,1,Card rời
Intel Core i7 7820HQ 2.9GHz,nvidia quadro m2200m,SSD,130482.72,1,Intel Core i7,1,Card rời
AMD Ryzen 1600 3.2GHz,amd radeon rx 580,SSD +  HDD,90309.6,2,Other,1,Khác
Intel Celeron Dual Core N3060 1.6GHz,intel hd graphics 400,HDD,18488.16,1,Other,2,Card onboard
Intel Core i7 7Y75 1.3GHz,intel hd graphics 615,SSD,117162.72,1,Intel Core i7,1,Card onboard
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,126912.96,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,29783.52,1,Intel Core i5,1,Card onboard
AMD A6-Series 9220 2.5GHz,amd radeon r4,HDD,27652.32,2,Other,2,Khác
Intel Core i5 8250U 1.6GHz,amd radeon 530,SSD,39906.72,1,Intel Core i5,1,Khác
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,76137.12,1,Intel Core i5,1,Card onboard
Intel Pentium Quad Core N4200 1.1GHz,intel hd graphics 505,SSD,18594.72,1,Other,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD +  HDD,58554.72,1,Intel Core i7,1,Card rời
Intel Core i5 7440HQ 2.8GHz,nvidia geforce 930mx,SSD,62817.12,1,Intel Core i5,1,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,23539.104,1,Intel Core i5,2,Card onboard
Intel Xeon E3-1505M V6 3GHz,nvidia quadro m620,Flash Storage +  HDD,106187.04,1,Other,2,Card rời
Intel Core i5 7300HQ 2.5GHz,nvidia geforce gtx 1050,SSD,54757.9872,1,Intel Core i5,1,Card rời
Intel Core i7 7660U 2.5GHz,intel iris plus graphics 640,SSD,137941.92,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,31381.92,1,Intel Core i5,1,Card onboard
Intel Core i7 6820HQ 2.7GHz,nvidia quadro m620,SSD,105228.0,1,Intel Core i7,1,Card rời
Intel Core i7 7820HQ 2.9GHz,intel hd graphics 620,SSD,81731.52,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,71661.6,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,amd radeon 530,SSD +  HDD,52161.12,1,Intel Core i7,1,Khác
Intel Pentium Quad Core N3710 1.6GHz,intel hd graphics 405,HDD,25521.12,1,Other,2,Card onboard
Intel Core i7 7700HQ 2.7GHz,nvidia geforce gtx 1060,HDD,109010.88,1,Intel Core i7,2,Card rời
Intel Core M m3-7Y30 2.2GHz,intel hd graphics 615,SSD,52693.92,1,Other,1,Card onboard
Intel Core i7 7660U 2.5GHz,intel iris plus graphics 640,SSD,95850.72,1,Intel Core i7,1,Card onboard
Intel Core i3 6006U 2GHz,intel hd graphics 520,SSD,34093.872,1,Intel Core i3,1,Card onboard
Intel Core i3 6006U 2GHz,nvidia geforce 940mx,HDD,28984.32,1,Intel Core i3,2,Card rời
Intel Celeron Dual Core N3060 1.6GHz,intel hd graphics 400,SSD,23176.8,1,Other,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,HDD,39906.72,1,Intel Core i5,2,Card onboard
Intel Core i7 7500U 2.7GHz,amd radeon r7 m460,SSD,42570.72,1,Intel Core i7,1,Khác
Intel Core i7 7820HQ 2.9GHz,nvidia quadro m2200m,SSD,111355.2,1,Intel Core i7,1,Card rời
Intel Pentium Quad Core N4200 1.1GHz,intel hd graphics 500,HDD,16197.12,1,Other,2,Card onboard
Intel Core i3 6006U 2GHz,nvidia geforce gtx 940mx,HDD,24988.32,1,Intel Core i3,2,Card rời
Intel Core i5 8250U 1.6GHz,amd radeon 530,HDD,40439.52,1,Intel Core i5,2,Khác
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1060,HDD,90522.72,1,Intel Core i7,2,Card rời
Intel Core i7 6600U 2.6GHz,intel hd graphics 520,SSD,98994.24,1,Intel Core i7,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,106506.72,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,amd firepro w4190m,HDD,61485.12,1,Intel Core i5,2,Khác
Intel Core i5 7Y57 1.2GHz,intel hd graphics 615,SSD,67932.0,1,Intel Core i5,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,98133.768,1,Intel Core i5,1,Card onboard
Intel Core i7 6700HQ 2.6GHz,intel hd graphics 530,SSD +  HDD,69210.72,1,Intel Core i7,1,Card onboard
Intel Core i3 6100U 2.3GHz,intel hd graphics 520,SSD,39427.2,1,Intel Core i3,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia quadro m1200,SSD,128298.24,1,Intel Core i7,1,Card rời
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,72673.92,1,Intel Core i5,1,Card onboard
Intel Core i5 7200U 2.5GHz,intel hd graphics 620,SSD,89084.16,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,nvidia geforce 940mx,SSD,67239.36,1,Intel Core i7,1,Card rời
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,HDD,31254.048,1,Intel Core i3,2,Card onboard
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,38681.28,1,Intel Core i5,1,Card onboard
Intel Atom x5-Z8350 1.44GHz,intel hd graphics,Flash Storage,13261.392,1,Other,0,Card onboard
Intel Core i3 6006U 2.0GHz,intel hd graphics 520,SSD,30103.2,1,Intel Core i3,1,Card onboard
Intel Core i5 8250U 1.6GHz,intel uhd graphics 620,SSD,55890.72,1,Intel Core i5,1,Card onboard
Intel Core i7 6820HQ 2.7GHz,nvidia quadro m620,SSD,124568.64,1,Intel Core i7,1,Card rời
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD,101178.72,1,Intel Core i7,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,95797.44,1,Intel Core i7,1,Card onboard
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,103896.0,1,Intel Core i7,1,Card onboard
Intel Core i5 7200U 2.5GHz,nvidia geforce 940mx,SSD,53918.8272,1,Intel Core i5,1,Card rời
Intel Core i7 7500U 2.7GHz,intel hd graphics 620,SSD,149130.72,1,Intel Core i7,1,Card onboard
Intel Core i7 7700HQ 2.8GHz,nvidia geforce gtx 1050,SSD +  HDD,71928.0,1,Intel Core i7,1,Card rời
AMD A10-Series 9620P 2.5GHz,amd radeon rx 540,HDD,30849.12,2,Other,2,Khác
Intel Core i7 6700HQ 2.6GHz,nvidia geforce gtx 965m,SSD +  HDD,67612.32,1,Intel Core i7,1,Card rời
Intel Core i5 6200U 2.3GHz,intel hd graphics 520,SSD,58554.72,1,Intel Core i5,1,Card onboard
Intel Core i7 8550U 1.8GHz,intel uhd graphics 620,SSD,47893.392,1,Intel Core i7,1,Card onboard
Intel Core i7 7600U 2.8GHz,intel hd graphics 620,SSD,93186.72,1,Intel Core i7,1,Card onboard
Intel Core i3 7100U 2.4GHz,intel hd graphics 620,SSD,50562.72,1,Intel Core i3,1,Card onboard
